-------------- Solving ODE Using Forward Euler --------------
Time                    Calculated Values(V1)           Calculated Values(V2)
-----------------------------------------------------------------------------------
0.0000000000            2.0000000000                    2.0000000000
0.0000000010            1.8000000000                    2.2489795153
0.0000000020            1.7200000000                    2.4727036823
0.0000000030            1.6480000000                    2.6729892966
0.0000000040            1.5832000000                    2.8527959055
0.0000000050            1.5248800000                    3.0145762755
0.0000000060            1.4723920000                    3.1603897275
0.0000000070            1.4251528000                    3.2919874180
0.0000000080            1.3826375200                    3.4108761661
0.0000000090            1.3443737680                    3.5183661595
0.0000000100            1.3099363912                    3.6156067480
0.0000000110            1.2789427521                    3.7036135447
0.0000000120            1.1510484769                    3.7832892298
0.0000000130            1.0359436292                    3.8574481020
0.0000000140            0.9323492663                    3.9263706285
0.0000000150            0.8391143396                    3.9903354949
0.0000000160            0.7552029057                    4.0496193174
0.0000000170            0.6796826151                    4.1044953464
0.0000000180            0.6117143536                    4.1552317896
0.0000000190            0.5505429182                    4.2020901222
0.0000000200            0.4954886264                    4.2453235814
0.0000000210            0.4459397638                    4.2851759327
0.0000000220            0.5013457874                    4.3218805327
0.0000000230            0.5512112087                    4.3539554669
0.0000000240            0.5960900878                    4.3819465096
0.0000000250            0.6364810790                    4.4063390859
0.0000000260            0.6728329711                    4.4275644087
0.0000000270            0.7055496740                    4.4460050808
0.0000000280            0.7349947066                    4.4620001915
0.0000000290            0.7614952359                    4.4758499387
0.0000000300            0.7853457123                    4.4878198101
0.0000000310            0.8068111411                    4.4981443562
0.0000000320            0.7261300270                    4.5070305871
0.0000000330            0.6535170243                    4.5165295600
0.0000000340            0.5881653219                    4.5264026737
0.0000000350            0.5293487897                    4.5364580496
0.0000000360            0.4764139107                    4.5465426116
0.0000000370            0.4287725196                    4.5565354611
0.0000000380            0.3858952677                    4.5663423345
0.0000000390            0.3473057409                    4.5758909667
0.0000000400            0.3125751668                    4.5851272125
0.0000000410            0.2813176501                    4.5940118034
0.0000000420            0.3531858851                    4.6025176359
0.0000000430            0.4178672966                    4.6089901428
0.0000000440            0.4760805670                    4.6137290428
0.0000000450            0.5284725103                    4.6169986383
0.0000000460            0.5756252592                    4.6190311088
0.0000000470            0.6180627333                    4.6200296474
0.0000000480            0.6562564600                    4.6201714113
0.0000000490            0.6906308140                    4.6196102708
0.0000000500            0.7215677326                    4.6184793496
0.0000000510            0.7494109593                    4.6168933546
0.0000000520            0.6744698634                    4.6149507017
0.0000000530            0.6070228771                    4.6145816364
0.0000000540            0.5463205893                    4.6154668515
0.0000000550            0.4916885304                    4.6173397355
0.0000000560            0.4425196774                    4.6199781578
0.0000000570            0.3982677096                    4.6231975345
0.0000000580            0.3584409387                    4.6268449698
0.0000000590            0.3225968448                    4.6307943024
0.0000000600            0.2903371603                    4.6349419130
0.0000000610            0.2613034443                    4.6392031747
0.0000000620            0.3351730999                    4.6435094453
0.0000000630            0.4016557899                    4.6461764933
0.0000000640            0.4614902109                    4.6474660082
0.0000000650            0.5153411898                    4.6476081602
0.0000000660            0.5638070708                    4.6468044517
0.0000000670            0.6074263637                    4.6452304673
0.0000000680            0.6466837274                    4.6430384888
0.0000000690            0.6820153546                    4.6403599494
0.0000000700            0.7138138192                    4.6373077159
0.0000000710            0.7424324372                    4.6339781912
0.0000000720            0.6681891935                    4.6304532391
0.0000000730            0.6013702742                    4.6286454064
0.0000000740            0.5412332468                    4.6282228877
0.0000000750            0.4871099221                    4.6289075673
0.0000000760            0.4383989299                    4.6304667435
0.0000000770            0.3945590369                    4.6327061326
0.0000000780            0.3551031332                    4.6354639507
0.0000000790            0.3195928199                    4.6386059014
0.0000000800            0.2876335379                    4.6420209279
0.0000000810            0.2588701841                    4.6456176095
0.0000000820            0.3329831657                    4.6493211040
0.0000000830            0.3996848491                    4.6514425327
0.0000000840            0.4597163642                    4.6522380333
0.0000000850            0.5137447278                    4.6519327919
0.0000000860            0.5623702550                    4.6507238308
0.0000000870            0.6061332295                    4.6487827032
0.0000000880            0.6455199066                    4.6462580596
0.0000000890            0.6809679159                    4.6432780595
0.0000000900            0.7128711243                    4.6399526156
0.0000000910            0.7415840119                    4.6363754638
0.0000000920            0.6674256107                    4.6326260579
0.0000000930            0.6006830496                    4.6306144411
0.0000000940            0.5406147447                    4.6300069645
0.0000000950            0.4865532702                    4.6305238227
0.0000000960            0.4378979432                    4.6319307668
0.0000000970            0.3941081489                    4.6340320986
0.0000000980            0.3546973340                    4.6366647419
0.0000000990            0.3192276006                    4.6396932212
