-------------- Solving ODE Using Forward Euler --------------

Time                    Calculated Values(V1)           Calculated Values(V2)
-----------------------------------------------------------------------------------
0.0000000000            0.0000000000                    0.0000000000
0.0000000002            0.0000000000                    0.0000000000
0.0000000004            0.0040000000                    0.0000000000
0.0000000006            0.0118400000                    0.0000800000
0.0000000008            0.0233680000                    0.0003136000
0.0000000010            0.0384395520                    0.0007684160
0.0000000012            0.0569173382                    0.0015064704
0.0000000014            0.0746707741                    0.0025845583
0.0000000016            0.0917356343                    0.0039745915
0.0000000018            0.1081457008                    0.0056503205
0.0000000020            0.1239328792                    0.0075872217
0.0000000022            0.1391273084                    0.0097623904
0.0000000024            0.1537574639                    0.0121544410
0.0000000026            0.1678502542                    0.0147434126
0.0000000028            0.1814311122                    0.0175106812
0.0000000030            0.1945240814                    0.0204388762
0.0000000032            0.2071518956                    0.0235118028
0.0000000034            0.2193360559                    0.0267143686
0.0000000036            0.2310969010                    0.0300325150
0.0000000038            0.2424536753                    0.0334531524
0.0000000040            0.2534245913                    0.0369640998
0.0000000042            0.2640268897                    0.0405540276
0.0000000044            0.2742768946                    0.0442124043
0.0000000046            0.2841900669                    0.0479294460
0.0000000048            0.2937810532                    0.0516960695
0.0000000050            0.3030637324                    0.0555038478
0.0000000052            0.3120512601                    0.0593449685
0.0000000054            0.3207561091                    0.0632121950
0.0000000056            0.3291901086                    0.0670988294
0.0000000058            0.3373644808                    0.0709986784
0.0000000060            0.3452898752                    0.0749060209
0.0000000062            0.3529764006                    0.0788155775
0.0000000064            0.3604336561                    0.0827224824
0.0000000066            0.3676707595                    0.0866222563
0.0000000068            0.3746963743                    0.0905107812
0.0000000070            0.3815187349                    0.0943842774
0.0000000072            0.3881456711                    0.0982392810
0.0000000074            0.3945846298                    0.1020726232
0.0000000076            0.4008426971                    0.1058814109
0.0000000078            0.4069266174                    0.1096630084
0.0000000080            0.4128428129                    0.1134150204
0.0000000082            0.4185974008                    0.1171352759
0.0000000084            0.4241962103                    0.1208218128
0.0000000086            0.4296447981                    0.1244728645
0.0000000088            0.4349484635                    0.1280868459
0.0000000090            0.4401122619                    0.1316623413
0.0000000092            0.4451410182                    0.1351980929
0.0000000094            0.4500393394                    0.1386929896
0.0000000096            0.4548116256                    0.1421460568
0.0000000098            0.4594620817                    0.1455564470
0.0000000100            0.4639947274                    0.1489234308
0.0000000102            0.4684134069                    0.1522463881
0.0000000104            0.4687217984                    0.1555248007
0.0000000106            0.4650834225                    0.1586782446
0.0000000108            0.4576536504                    0.1616327833
0.0000000110            0.4465801601                    0.1643205450
0.0000000112            0.4320033646                    0.1666793264
0.0000000114            0.4180568165                    0.1686522206
0.0000000116            0.4047075883                    0.1702672681
0.0000000118            0.3919246301                    0.1715507292
0.0000000120            0.3796786595                    0.1725271926
0.0000000122            0.3679420570                    0.1732196781
0.0000000124            0.3566887683                    0.1736497321
0.0000000126            0.3458942122                    0.1738375182
0.0000000128            0.3355351940                    0.1738019017
0.0000000130            0.3255898243                    0.1735605295
0.0000000132            0.3160374419                    0.1731299048
0.0000000134            0.3068585423                    0.1725254575
0.0000000136            0.2980347098                    0.1717616100
0.0000000138            0.2895485536                    0.1708518398
0.0000000140            0.2813836483                    0.1698087373
0.0000000142            0.2735244771                    0.1686440608
0.0000000144            0.2659563792                    0.1673687879
0.0000000146            0.2586654998                    0.1659931639
0.0000000148            0.2516387431                    0.1645267474
0.0000000150            0.2448637283                    0.1629784523
0.0000000152            0.2383287482                    0.1613565888
0.0000000154            0.2320227301                    0.1596689002
0.0000000156            0.2259351989                    0.1579225988
0.0000000158            0.2200562429                    0.1561243988
0.0000000160            0.2143764812                    0.1542805478
0.0000000162            0.2088870329                    0.1523968555
0.0000000164            0.2035794887                    0.1504787219
0.0000000166            0.1984458836                    0.1485311628
0.0000000168            0.1934786715                    0.1465588340
0.0000000170            0.1886707013                    0.1445660540
0.0000000172            0.1840151943                    0.1425568259
0.0000000174            0.1795057231                    0.1405348567
0.0000000176            0.1751361913                    0.1385035769
0.0000000178            0.1709008152                    0.1364661577
0.0000000180            0.1667941057                    0.1344255277
0.0000000182            0.1628108520                    0.1323843887
0.0000000184            0.1589461057                    0.1303452302
0.0000000186            0.1551951661                    0.1283103431
0.0000000188            0.1515535663                    0.1262818327
0.0000000190            0.1480170603                    0.1242616307
0.0000000192            0.1445816105                    0.1222515067
0.0000000194            0.1412433762                    0.1202530786
0.0000000196            0.1379987028                    0.1182678230
0.0000000198            0.1348441111                    0.1162970841
0.0000000200            0.1317762883                    0.1143420830
0.0000000202            0.1287920785                    0.1124039254
0.0000000204            0.1298884738                    0.1104836100
0.0000000206            0.1349026071                    0.1086620351
