-------------- Solving ODE Using RK34 With Time Adaptivity --------------
Time                    Calculated Values(V1)           Calculated Values(V2)
-----------------------------------------------------------------------------------
0.0000000000            2.0000000000                    2.0000000000
0.0000000010            1.8574312500                    2.2364998039
0.0000000011            1.8506220028                    2.2543013312
0.0000000012            1.8401032855                    2.2817839004
0.0000000013            1.8296304529                    2.3091273210
0.0000000015            1.8191983953                    2.3363461902
0.0000000016            1.8088079914                    2.3634394440
0.0000000017            1.7984601272                    2.3904059878
0.0000000018            1.7881557049                    2.4172446732
0.0000000020            1.7778956414                    2.4439543001
0.0000000021            1.7676808677                    2.4705336189
0.0000000022            1.7575123276                    2.4969813322
0.0000000024            1.7473909762                    2.5232960976
0.0000000025            1.7373177791                    2.5494765299
0.0000000026            1.7272937108                    2.5755212032
0.0000000028            1.7173197538                    2.6014286543
0.0000000029            1.7073968965                    2.6271973845
0.0000000031            1.6975261326                    2.6528258632
0.0000000032            1.6877084592                    2.6783125302
0.0000000033            1.6779448757                    2.7036557990
0.0000000035            1.6682363818                    2.7288540597
0.0000000036            1.6585839766                    2.7539056823
0.0000000038            1.6489886565                    2.7788090195
0.0000000039            1.6394514145                    2.8035624103
0.0000000041            1.6299732378                    2.8281641831
0.0000000042            1.6205551069                    2.8526126589
0.0000000044            1.6111979939                    2.8769061546
0.0000000045            1.6019028611                    2.9010429862
0.0000000047            1.5926706594                    2.9250214722
0.0000000048            1.5835023272                    2.9488399368
0.0000000050            1.5743987886                    2.9724967129
0.0000000052            1.5653609525                    2.9959901454
0.0000000053            1.5563897108                    3.0193185940
0.0000000055            1.5474859377                    3.0424804368
0.0000000056            1.5386504880                    3.0654740722
0.0000000058            1.5298841964                    3.0882979225
0.0000000060            1.5211878760                    3.1109504364
0.0000000061            1.5125623178                    3.1334300913
0.0000000063            1.5040082891                    3.1557353960
0.0000000065            1.4955265333                    3.1778648929
0.0000000067            1.4871177686                    3.1998171603
0.0000000068            1.4787826876                    3.2215908143
0.0000000070            1.4705219563                    3.2431845107
0.0000000072            1.4623362140                    3.2645969469
0.0000000074            1.4542260721                    3.2858268635
0.0000000075            1.4461921145                    3.3068730455
0.0000000077            1.4382348963                    3.3277343240
0.0000000079            1.4303549445                    3.3484095771
0.0000000081            1.4225527568                    3.3688977310
0.0000000083            1.4148288021                    3.3891977611
0.0000000084            1.4071835202                    3.4093086923
0.0000000086            1.3996173215                    3.4292296002
0.0000000088            1.3921305875                    3.4489596112
0.0000000090            1.3847236705                    3.4684979031
0.0000000092            1.3773968939                    3.4878437052
0.0000000094            1.3701505520                    3.5069962987
0.0000000096            1.3629849110                    3.5259550165
0.0000000098            1.3559002083                    3.5447192433
0.0000000100            1.3488966535                    3.5632884155
0.0000000102            1.3401030898                    3.5816653049
0.0000000103            1.3359908395                    3.5882418022
0.0000000104            1.3301471127                    3.5964123555
0.0000000104            1.3235086646                    3.6045483983
0.0000000105            1.3160736218                    3.6126517854
0.0000000106            1.3078404782                    3.6207238936
0.0000000107            1.2988077690                    3.6287661084
0.0000000108            1.2889740680                    3.6367798231
0.0000000109            1.2783379853                    3.6447664376
0.0000000110            1.2668992650                    3.6527273574
0.0000000111            1.2593591017                    3.6577961776
0.0000000112            1.2371089470                    3.6728036096
0.0000000114            1.2151234145                    3.6877069721
0.0000000116            1.1933933771                    3.7025110639
0.0000000118            1.1719175216                    3.7172154214
0.0000000120            1.1506945387                    3.7318195730
0.0000000121            1.1297231253                    3.7463230387
0.0000000123            1.1090019845                    3.7607253311
0.0000000125            1.0885298237                    3.7750259567
0.0000000127            1.0683053545                    3.7892244171
0.0000000129            1.0483272911                    3.8033202101
0.0000000131            1.0285943501                    3.8173128312
0.0000000133            1.0091052495                    3.8312017745
0.0000000135            0.9898587078                    3.8449865337
0.0000000137            0.9708534432                    3.8586666036
0.0000000139            0.9520881735                    3.8722414805
0.0000000141            0.9335616146                    3.8857106635
0.0000000143            0.9152724807                    3.8990736555
0.0000000145            0.8972194831                    3.9123299640
0.0000000147            0.8794013299                    3.9254791019
0.0000000149            0.8618167257                    3.9385205885
0.0000000151            0.8444643707                    3.9514539500
0.0000000153            0.8273429606                    3.9642787205
0.0000000155            0.8104511859                    3.9769944425
0.0000000157            0.7937877320                    3.9896006678
0.0000000159            0.7773512784                    4.0020969580
0.0000000161            0.7611404983                    4.0144828851
0.0000000163            0.7451540588                    4.0267580320
0.0000000165            0.7293906204                    4.0389219933
0.0000000167            0.7138488365                    4.0509743755
0.0000000170            0.6985273537                    4.0629147978
0.0000000172            0.6834248111                    4.0747428921
0.0000000174            0.6685398405                    4.0864583039
0.0000000176            0.6538710660                    4.0980606924
0.0000000178            0.6394171042                    4.1095497312
0.0000000181            0.6251765637                    4.1209251080
0.0000000183            0.6111480452                    4.1321865258
0.0000000185            0.5973301415                    4.1433337023
0.0000000187            0.5837214375                    4.1543663709
0.0000000190            0.5703205097                    4.1652842807
0.0000000192            0.5571259268                    4.1760871966
0.0000000195            0.5441362492                    4.1867748998
0.0000000197            0.5313500295                    4.1973471876
0.0000000199            0.5187658118                    4.2078038741
0.0000000202            0.5080787028                    4.2181421483
0.0000000202            0.5068834125                    4.2197339851
0.0000000203            0.5045695854                    4.2236125216
0.0000000204            0.5031206194                    4.2274708088
0.0000000205            0.5025369186                    4.2313082062
0.0000000206            0.5028193989                    4.2351233819
0.0000000207            0.5039690005                    4.2389150009
0.0000000208            0.5059866890                    4.2426817242
0.0000000209            0.5088734556                    4.2464222076
0.0000000210            0.5126303177                    4.2501351006
0.0000000211            0.5171076299                    4.2538191093
0.0000000211            0.5182247249                    4.2547124484
0.0000000213            0.5289007889                    4.2632270335
0.0000000215            0.5394242920                    4.2715782002
0.0000000218            0.5498017917                    4.2797718656
0.0000000220            0.5600339154                    4.2878092125
0.0000000222            0.5701213047                    4.2956914414
0.0000000224            0.5800646118                    4.3034197677
0.0000000227            0.5898644996                    4.3109954213
0.0000000229            0.5995216415                    4.3184196468
0.0000000232            0.6090367211                    4.3256937028
0.0000000234            0.6184104324                    4.3328188619
0.0000000236            0.6276434798                    4.3397964102
0.0000000239            0.6367365774                    4.3466276474
0.0000000241            0.6456904496                    4.3533138862
0.0000000244            0.6545058305                    4.3598564522
0.0000000247            0.6631834640                    4.3662566839
0.0000000249            0.6717241036                    4.3725159318
0.0000000252            0.6801285126                    4.3786355588
0.0000000254            0.6883974633                    4.3846169395
0.0000000257            0.6965317379                    4.3904614602
0.0000000260            0.7045321274                    4.3961705186
0.0000000262            0.7123994322                    4.4017455234
0.0000000265            0.7201344618                    4.4071878942
0.0000000268            0.7277380343                    4.4124990612
0.0000000271            0.7352109772                    4.4176804649
0.0000000273            0.7425541262                    4.4227335558
0.0000000276            0.7497683260                    4.4276597943
0.0000000279            0.7568544300                    4.4324606505
0.0000000282            0.7638132997                    4.4371376035
0.0000000285            0.7706458052                    4.4416921417
0.0000000288            0.7773528251                    4.4461257622
0.0000000291            0.7839352458                    4.4504399707
0.0000000294            0.7903939622                    4.4546362812
0.0000000297            0.7967298772                    4.4587162158
0.0000000300            0.8028930896                    4.4626813041
0.0000000301            0.8038690358                    4.4634857011
0.0000000302            0.8045389477                    4.4646524839
0.0000000303            0.8043122486                    4.4658116242
0.0000000304            0.8031885241                    4.4669648401
0.0000000305            0.8011672636                    4.4681137405
0.0000000306            0.7982479658                    4.4692599344
0.0000000306            0.7944301385                    4.4704050296
0.0000000307            0.7897132977                    4.4715506313
0.0000000308            0.7840969675                    4.4726983414
0.0000000309            0.7775806793                    4.4738497569
0.0000000310            0.7702481291                    4.4750064416
0.0000000311            0.7684266724                    4.4752880467
0.0000000313            0.7515005113                    4.4779433346
0.0000000315            0.7348292751                    4.4806276272
0.0000000317            0.7184000115                    4.4833411693
0.0000000320            0.7022111910                    4.4860824536
0.0000000322            0.6862612748                    4.4888499902
0.0000000324            0.6705487220                    4.4916423053
0.0000000327            0.6550719897                    4.4944579412
0.0000000329            0.6398295319                    4.4972954561
0.0000000331            0.6248198000                    4.5001534242
0.0000000334            0.6100412416                    4.5030304355
0.0000000336            0.5954923010                    4.5059250961
0.0000000339            0.5811714183                    4.5088360275
0.0000000341            0.5670770294                    4.5117618674
0.0000000343            0.5532075655                    4.5147012690
0.0000000346            0.5395614531                    4.5176529014
0.0000000348            0.5261371136                    4.5206154493
0.0000000351            0.5129329628                    4.5235876133
0.0000000354            0.4999474114                    4.5265681094
0.0000000356            0.4871788638                    4.5295556697
0.0000000359            0.4746257187                    4.5325490418
0.0000000361            0.4622863686                    4.5355469890
0.0000000364            0.4501591994                    4.5385482905
0.0000000367            0.4382425907                    4.5415517410
0.0000000369            0.4265349151                    4.5445561513
0.0000000372            0.4150345385                    4.5475603477
0.0000000375            0.4037398198                    4.5505631725
0.0000000378            0.3926491106                    4.5535634838
0.0000000381            0.3817607553                    4.5565601555
0.0000000383            0.3710730909                    4.5595520775
0.0000000386            0.3605844470                    4.5625381557
0.0000000389            0.3502931455                    4.5655173119
0.0000000392            0.3401975008                    4.5684884839
0.0000000395            0.3302958193                    4.5714506258
0.0000000398            0.3205863999                    4.5744027075
0.0000000401            0.3117342230                    4.5773431946
0.0000000401            0.3110663902                    4.5776819156
0.0000000402            0.3098831843                    4.5785949567
0.0000000403            0.3096083943                    4.5795033025
0.0000000404            0.3102420783                    4.5804057262
0.0000000405            0.3117846287                    4.5813008218
0.0000000406            0.3142364544                    4.5821871810
0.0000000407            0.3175979821                    4.5830633914
0.0000000408            0.3218696569                    4.5839280361
0.0000000409            0.3270519431                    4.5847796918
0.0000000410            0.3331405229                    4.5856169279
0.0000000410            0.3360201419                    4.5859828094
0.0000000413            0.3511088846                    4.5878660605
0.0000000415            0.3659663581                    4.5896634530
0.0000000417            0.3806015673                    4.5913771198
0.0000000420            0.3950160427                    4.5930082532
0.0000000422            0.4092113182                    4.5945580529
0.0000000425            0.4231889275                    4.5960277245
0.0000000427            0.4369504041                    4.5974184801
0.0000000429            0.4504972817                    4.5987315379
0.0000000432            0.4638310941                    4.5999681217
0.0000000434            0.4769533757                    4.6011294614
0.0000000437            0.4898656612                    4.6022167921
0.0000000439            0.5025694863                    4.6032313545
0.0000000442            0.5150663873                    4.6041743946
0.0000000444            0.5273579018                    4.6050471632
0.0000000447            0.5394455683                    4.6058509163
0.0000000450            0.5513309266                    4.6065869143
0.0000000452            0.5630155182                    4.6072564223
0.0000000455            0.5745008859                    4.6078607095
0.0000000458            0.5857885742                    4.6084010495
0.0000000460            0.5968801295                    4.6088787195
0.0000000463            0.6077771001                    4.6092950008
0.0000000466            0.6184810365                    4.6096511780
0.0000000469            0.6289934910                    4.6099485390
0.0000000471            0.6393160185                    4.6101883750
0.0000000474            0.6494501762                    4.6103719800
0.0000000477            0.6593975239                    4.6105006506
0.0000000480            0.6691596239                    4.6105756861
0.0000000483            0.6787380414                    4.6105983879
0.0000000486            0.6881343442                    4.6105700595
0.0000000489            0.6973501032                    4.6104920062
0.0000000492            0.7063868925                    4.6103655348
0.0000000495            0.7152462891                    4.6101919536
0.0000000498            0.7239298735                    4.6099725719
0.0000000501            0.7313128520                    4.6097100060
