-------------- Solving ODE Using RK34 With Time Adaptivity --------------

Time                    Calculated Values(V1)           Calculated Values(V2)
-----------------------------------------------------------------------------------
0.0000000000            0.0000000000                    0.0000000000
0.0000000002            0.0019653750                    0.0000172000
0.0000000002            0.0020790262                    0.0000183355
0.0000000002            0.0021981731                    0.0000195601
0.0000000002            0.0023228681                    0.0000208782
0.0000000002            0.0024533181                    0.0000222960
0.0000000002            0.0025897357                    0.0000238199
0.0000000002            0.0027323395                    0.0000254568
0.0000000002            0.0028813544                    0.0000272139
0.0000000002            0.0030370114                    0.0000290990
0.0000000003            0.0031995478                    0.0000311200
0.0000000003            0.0033692075                    0.0000332855
0.0000000003            0.0035462411                    0.0000356045
0.0000000003            0.0037309057                    0.0000380862
0.0000000003            0.0039234653                    0.0000407408
0.0000000003            0.0041241912                    0.0000435786
0.0000000003            0.0043333616                    0.0000466105
0.0000000003            0.0045512619                    0.0000498482
0.0000000003            0.0047781851                    0.0000533038
0.0000000003            0.0050144317                    0.0000569901
0.0000000003            0.0052603099                    0.0000609203
0.0000000003            0.0055161357                    0.0000651087
0.0000000003            0.0057822331                    0.0000695699
0.0000000004            0.0060589343                    0.0000743194
0.0000000004            0.0063465798                    0.0000793736
0.0000000004            0.0066455184                    0.0000847493
0.0000000004            0.0069561076                    0.0000904645
0.0000000004            0.0072787138                    0.0000965378
0.0000000004            0.0076137120                    0.0001029888
0.0000000004            0.0079614865                    0.0001098381
0.0000000004            0.0083224309                    0.0001171070
0.0000000004            0.0086969480                    0.0001248182
0.0000000004            0.0090854503                    0.0001329950
0.0000000004            0.0094883602                    0.0001416621
0.0000000005            0.0099061097                    0.0001508451
0.0000000005            0.0103391411                    0.0001605709
0.0000000005            0.0107879072                    0.0001708676
0.0000000005            0.0112528708                    0.0001817645
0.0000000005            0.0117345058                    0.0001932922
0.0000000005            0.0122332967                    0.0002054827
0.0000000005            0.0127497391                    0.0002183695
0.0000000005            0.0132843398                    0.0002319872
0.0000000005            0.0138376172                    0.0002463723
0.0000000005            0.0144101011                    0.0002615628
0.0000000006            0.0150023332                    0.0002775980
0.0000000006            0.0156148675                    0.0002945192
0.0000000006            0.0162482699                    0.0003123695
0.0000000006            0.0169031189                    0.0003311935
0.0000000006            0.0175800058                    0.0003510379
0.0000000006            0.0182795347                    0.0003719513
0.0000000006            0.0190023229                    0.0003939843
0.0000000006            0.0197490009                    0.0004171895
0.0000000007            0.0205202131                    0.0004416217
0.0000000007            0.0213166174                    0.0004673381
0.0000000007            0.0221388859                    0.0004943980
0.0000000007            0.0229877051                    0.0005228631
0.0000000007            0.0238637761                    0.0005527976
0.0000000007            0.0247678145                    0.0005842684
0.0000000007            0.0257005514                    0.0006173448
0.0000000007            0.0266627328                    0.0006520990
0.0000000008            0.0276551207                    0.0006886061
0.0000000008            0.0286784926                    0.0007269439
0.0000000008            0.0297336425                    0.0007671934
0.0000000008            0.0308213806                    0.0008094387
0.0000000008            0.0319425337                    0.0008537671
0.0000000008            0.0330979459                    0.0009002691
0.0000000009            0.0342884783                    0.0009490390
0.0000000009            0.0355150097                    0.0010001744
0.0000000009            0.0367784369                    0.0010537766
0.0000000009            0.0380796747                    0.0011099509
0.0000000009            0.0394196565                    0.0011688062
0.0000000009            0.0407993346                    0.0012304557
0.0000000009            0.0422196803                    0.0012950169
0.0000000010            0.0436816846                    0.0013626113
0.0000000010            0.0451863581                    0.0014333651
0.0000000010            0.0467347317                    0.0015074090
0.0000000010            0.0483143453                    0.0015848686
0.0000000010            0.0488034823                    0.0016094015
0.0000000010            0.0511250944                    0.0017294448
0.0000000011            0.0534765373                    0.0018571216
0.0000000011            0.0558573672                    0.0019926695
0.0000000011            0.0582667368                    0.0021363023
0.0000000012            0.0607038267                    0.0022882312
0.0000000012            0.0631678429                    0.0024486657
0.0000000012            0.0656580157                    0.0026178129
0.0000000012            0.0681735982                    0.0027958774
0.0000000013            0.0707138649                    0.0029830620
0.0000000013            0.0732781107                    0.0031795670
0.0000000013            0.0758656497                    0.0033855903
0.0000000014            0.0784758142                    0.0036013278
0.0000000014            0.0811079539                    0.0038269726
0.0000000014            0.0837614351                    0.0040627160
0.0000000015            0.0864356396                    0.0043087466
0.0000000015            0.0891299646                    0.0045652506
0.0000000015            0.0918438215                    0.0048324120
0.0000000016            0.0945766353                    0.0051104122
0.0000000016            0.0973278447                    0.0053994303
0.0000000016            0.1000969007                    0.0056996430
0.0000000017            0.1028832666                    0.0060112245
0.0000000017            0.1056864177                    0.0063343463
0.0000000017            0.1085058403                    0.0066691779
0.0000000018            0.1113410318                    0.0070158860
0.0000000018            0.1141915004                    0.0073746347
0.0000000018            0.1170567640                    0.0077455860
