-------------- Solving ODE Using RK34 With Time Adaptivity --------------

Time                    Calculated Values(V1)           Calculated Values(V2)
-----------------------------------------------------------------------------------
0.0000000000            2.5000000000                    2.5000000000
0.0000000010            2.3098242188                    2.6754097849
0.0000000011            2.2988437669                    2.6894392272
0.0000000012            2.2799485232                    2.7135918167
0.0000000014            2.2611966101                    2.7375758585
0.0000000015            2.2425768524                    2.7614069310
0.0000000017            2.2240904637                    2.7850847368
0.0000000018            2.2057386342                    2.8086089630
0.0000000020            2.1875225468                    2.8319792595
0.0000000021            2.1694433753                    2.8551952415
0.0000000023            2.1515022818                    2.8782564916
0.0000000024            2.1337004143                    2.9011625622
0.0000000026            2.1160389048                    2.9239129781
0.0000000028            2.0985188665                    2.9465072387
0.0000000029            2.0811413921                    2.9689448208
0.0000000031            2.0639075516                    2.9912251807
0.0000000032            2.0468183897                    3.0133477570
0.0000000034            2.0298749245                    3.0353119732
0.0000000036            2.0130781450                    3.0571172394
0.0000000037            1.9964290094                    3.0787629558
0.0000000039            1.9799284434                    3.1002485142
0.0000000041            1.9635773388                    3.1215733007
0.0000000042            1.9473765511                    3.1427366981
0.0000000044            1.9313268992                    3.1637380879
0.0000000046            1.9154291631                    3.1845768523
0.0000000048            1.8996840833                    3.2052523767
0.0000000049            1.8840923594                    3.2257640514
0.0000000051            1.8686546493                    3.2461112735
0.0000000053            1.8533715683                    3.2662934487
0.0000000055            1.8382436883                    3.2863099931
0.0000000056            1.8232715373                    3.3061603348
0.0000000058            1.8084555990                    3.3258439154
0.0000000060            1.7937963121                    3.3453601914
0.0000000062            1.7792940704                    3.3647086356
0.0000000064            1.7649492224                    3.3838887383
0.0000000066            1.7507620715                    3.4029000084
0.0000000068            1.7367328756                    3.4217419745
0.0000000069            1.7228618478                    3.4404141861
0.0000000071            1.7091491561                    3.4589162138
0.0000000073            1.6955949240                    3.4772476510
0.0000000075            1.6821992310                    3.4954081139
0.0000000077            1.6689621125                    3.5133972424
0.0000000079            1.6558835611                    3.5312147007
0.0000000081            1.6429635264                    3.5488601777
0.0000000083            1.6302019161                    3.5663333874
0.0000000085            1.6175985967                    3.5836340695
0.0000000087            1.6051533937                    3.6007619894
0.0000000089            1.5928660932                    3.6177169384
0.0000000091            1.5807364419                    3.6344987343
0.0000000093            1.5687641481                    3.6511072212
0.0000000096            1.5569488831                    3.6675422695
0.0000000098            1.5452902813                    3.6838037764
0.0000000100            1.5337879416                    3.6998916655
0.0000000102            1.5205109299                    3.7158095899
