-------------- Solving ODE Using RK34 Without Time Adaptivity --------------
Time                    Calculated Values(V1)           Calculated Values(V2)
-----------------------------------------------------------------------------------
0.0000000000            2.0000000000                    2.0000000000
0.0000000010            1.8574312500                    2.2364998039
0.0000000020            1.7757917374                    2.4494531156
0.0000000030            1.7019254544                    2.6414384434
0.0000000040            1.6350922803                    2.8149143839
0.0000000050            1.5746225642                    2.9719509144
0.0000000060            1.5199104155                    3.1143101849
0.0000000070            1.4704076327                    3.2435086563
0.0000000080            1.4256182110                    3.3608646149
0.0000000090            1.3850933720                    3.4675344330
0.0000000100            1.3484270676                    3.5645403127
0.0000000110            1.2673925360                    3.6532149138
0.0000000120            1.1467189439                    3.7352777917
0.0000000130            1.0375351747                    3.8115869395
0.0000000140            0.9387472357                    3.8824762771
0.0000000150            0.8493652978                    3.9482667518
0.0000000160            0.7684937772                    4.0092676561
0.0000000170            0.6953223627                    4.0657769469
0.0000000180            0.6291178958                    4.1180810682
0.0000000190            0.5692170251                    4.1664545847
0.0000000200            0.5150195597                    4.2111598043
0.0000000210            0.5138418302                    4.2520852990
0.0000000220            0.5601309245                    4.2886902442
0.0000000230            0.6020126462                    4.3210639835
0.0000000240            0.6399066390                    4.3496724770
0.0000000250            0.6741925907                    4.3749327622
0.0000000260            0.7052140378                    4.3972177832
0.0000000270            0.7332818068                    4.4168607912
0.0000000280            0.7586771295                    4.4341593457
0.0000000290            0.7816544604                    4.4493789448
0.0000000300            0.8024440263                    4.4627563150
0.0000000310            0.7733947581                    4.4748950145
0.0000000320            0.6997567012                    4.4868263925
0.0000000330            0.6331300230                    4.4988414866
0.0000000340            0.5728471414                    4.5107966106
0.0000000350            0.5183040379                    4.5225781965
0.0000000360            0.4689542048                    4.5340977362
0.0000000370            0.4243031698                    4.5452875228
0.0000000380            0.3839035413                    4.5560970663
0.0000000390            0.3473505255                    4.5664900791
0.0000000400            0.3142778709                    4.5764419418
0.0000000410            0.3322135730                    4.5855936018
0.0000000420            0.3957962316                    4.5931918005
0.0000000430            0.4533249270                    4.5990962679
0.0000000440            0.5053760816                    4.6035457637
0.0000000450            0.5524712343                    4.6067516674
0.0000000460            0.5950822661                    4.6089005331
0.0000000470            0.6336361285                    4.6101564941
0.0000000480            0.6685191211                    4.6106635079
0.0000000490            0.7000807622                    4.6105474368
0.0000000500            0.7286372913                    4.6099179641
0.0000000510            0.7066154622                    4.6092568586
0.0000000520            0.6393357334                    4.6094787965
0.0000000530            0.5784619809                    4.6107802074
0.0000000540            0.5233842657                    4.6129367089
0.0000000550            0.4735507235                    4.6157599121
0.0000000560            0.4284620353                    4.6190920489
0.0000000570            0.3876664243                    4.6228013949
0.0000000580            0.3507551292                    4.6267783695
0.0000000590            0.3173583084                    4.6309322094
0.0000000600            0.2871413346                    4.6351881292
0.0000000610            0.3076608166                    4.6391433458
0.0000000620            0.3735812429                    4.6420066344
0.0000000630            0.4332251176                    4.6435981209
0.0000000640            0.4871900566                    4.6441180590
0.0000000650            0.5360167746                    4.6437430307
0.0000000660            0.5801945025                    4.6426281077
0.0000000670            0.6201658893                    4.6409089100
0.0000000680            0.6563314381                    4.6387035464
0.0000000690            0.6890535180                    4.6361144255
0.0000000700            0.7186599958                    4.6332299341
0.0000000710            0.6975881455                    4.6305116525
0.0000000720            0.6311679443                    4.6288551259
0.0000000730            0.5710718802                    4.6284409869
0.0000000740            0.5166978065                    4.6290312323
0.0000000750            0.4675009092                    4.6304249045
0.0000000760            0.4229882484                    4.6324526524
0.0000000770            0.3827138189                    4.6349720903
0.0000000780            0.3462740814                    4.6378638349
0.0000000790            0.3133039194                    4.6410281182
0.0000000800            0.2834729804                    4.6443818910
0.0000000810            0.3043417414                    4.6475151172
0.0000000820            0.3705781903                    4.6496302257
0.0000000830            0.4305079978                    4.6505408933
0.0000000840            0.4847316449                    4.6504411800
0.0000000850            0.5337924383                    4.6495020709
0.0000000860            0.5781819542                    4.6478735744
0.0000000870            0.6183449640                    4.6456867265
0.0000000880            0.6546838904                    4.6430554820
0.0000000890            0.6875628401                    4.6400784824
0.0000000900            0.7173112513                    4.6368406965
0.0000000910            0.6963678205                    4.6338004894
0.0000000920            0.6300638113                    4.6318503819
0.0000000930            0.5700728762                    4.6311684721
0.0000000940            0.5157939218                    4.6315145531
0.0000000950            0.4666830871                    4.6326856403
0.0000000960            0.4222482944                    4.6345105206
0.0000000970            0.3820443189                    4.6368450993
0.0000000980            0.3456683273                    4.6395684259
0.0000000990            0.3127558416                    4.6425792962
0.0000001000            0.2829770873                    4.6457933460
0.0000001010            0.3038930642                    4.6487993794
