-------------- Solving ODE Using RK34 Without Time Adaptivity --------------

Time                    Calculated Values(V1)           Calculated Values(V2)
-----------------------------------------------------------------------------------
0.0000000000            0.0000000000                    0.0000000000
0.0000000002            0.0019653750                    0.0000172000
0.0000000004            0.0077761125                    0.0001101276
0.0000000006            0.0172836059                    0.0003497449
0.0000000008            0.0303464121                    0.0008013881
0.0000000010            0.0468298635                    0.0015251250
0.0000000012            0.0646403275                    0.0025588904
0.0000000014            0.0817756241                    0.0038946748
0.0000000016            0.0982679066                    0.0055077136
0.0000000018            0.1141475976                    0.0073748269
0.0000000020            0.1294434870                    0.0094743242
0.0000000022            0.1441828242                    0.0117859148
0.0000000024            0.1583914051                    0.0142906237
0.0000000026            0.1720936542                    0.0169707120
0.0000000028            0.1853127020                    0.0198096028
0.0000000030            0.1980704575                    0.0227918107
0.0000000032            0.2103876773                    0.0259028757
0.0000000034            0.2222840298                    0.0291293010
0.0000000036            0.2337781566                    0.0324584947
0.0000000038            0.2448877296                    0.0358787145
0.0000000040            0.2556295055                    0.0393790163
0.0000000042            0.2660193766                    0.0429492049
0.0000000044            0.2760724192                    0.0465797885
0.0000000046            0.2858029386                    0.0502619357
0.0000000048            0.2952245123                    0.0539874344
0.0000000050            0.3043500298                    0.0577486543
0.0000000052            0.3131917313                    0.0615385104
0.0000000054            0.3217612428                    0.0653504296
0.0000000056            0.3300696105                    0.0691783188
0.0000000058            0.3381273323                    0.0730165349
0.0000000060            0.3459443879                    0.0768598568
0.0000000062            0.3535302672                    0.0807034591
0.0000000064            0.3608939972                    0.0845428872
0.0000000066            0.3680441668                    0.0883740336
0.0000000068            0.3749889509                    0.0921931164
0.0000000070            0.3817361324                    0.0959966583
0.0000000072            0.3882931241                    0.0997814675
0.0000000074            0.3946669877                    0.1035446190
0.0000000076            0.4008644535                    0.1072834377
0.0000000078            0.4068919374                    0.1109954826
0.0000000080            0.4127555582                    0.1146785310
0.0000000082            0.4184611532                    0.1183305645
0.0000000084            0.4240142930                    0.1219497559
0.0000000086            0.4294202956                    0.1255344562
0.0000000088            0.4346842402                    0.1290831830
0.0000000090            0.4398109787                    0.1325946096
0.0000000092            0.4448051487                    0.1360675541
0.0000000094            0.4496711837                    0.1395009699
0.0000000096            0.4544133243                    0.1428939365
0.0000000098            0.4590356278                    0.1462456510
0.0000000100            0.4635419778                    0.1495554194
0.0000000102            0.4659707180                    0.1528054499
0.0000000104            0.4644454231                    0.1559367175
0.0000000106            0.4591181133                    0.1588778504
0.0000000108            0.4501335042                    0.1615631846
0.0000000110            0.4376294019                    0.1639324000
0.0000000112            0.4237024502                    0.1659473798
0.0000000114            0.4103577195                    0.1676160165
0.0000000116            0.3975658313                    0.1689630175
0.0000000118            0.3852990290                    0.1700115615
0.0000000120            0.3735310842                    0.1707833889
0.0000000122            0.3622372104                    0.1712988877
0.0000000124            0.3513939801                    0.1715771736
0.0000000126            0.3409792474                    0.1716361661
0.0000000128            0.3309720753                    0.1714926599
0.0000000130            0.3213526664                    0.1711623915
0.0000000132            0.3121022986                    0.1706601029
0.0000000134            0.3032032637                    0.1699996011
0.0000000136            0.2946388100                    0.1691938135
0.0000000138            0.2863930880                    0.1682548413
0.0000000140            0.2784510992                    0.1671940088
0.0000000142            0.2707986484                    0.1660219100
0.0000000144            0.2634222977                    0.1647484525
0.0000000146            0.2563093241                    0.1633828991
0.0000000148            0.2494476793                    0.1619339066
0.0000000150            0.2428259515                    0.1604095622
0.0000000152            0.2364333296                    0.1588174182
0.0000000154            0.2302595697                    0.1571645246
0.0000000156            0.2242949632                    0.1554574590
0.0000000158            0.2185303066                    0.1537023559
0.0000000160            0.2129568737                    0.1519049335
0.0000000162            0.2075663886                    0.1500705190
0.0000000164            0.2023510010                    0.1482040727
0.0000000166            0.1973032619                    0.1463102104
0.0000000168            0.1924161022                    0.1443932247
0.0000000170            0.1876828107                    0.1424571046
0.0000000172            0.1830970151                    0.1405055546
0.0000000174            0.1786526630                    0.1385420120
0.0000000176            0.1743440040                    0.1365696637
0.0000000178            0.1701655735                    0.1345914618
0.0000000180            0.1661121771                    0.1326101379
0.0000000182            0.1621788752                    0.1306282173
0.0000000184            0.1583609700                    0.1286480320
0.0000000186            0.1546539914                    0.1266717322
0.0000000188            0.1510536853                    0.1247012988
0.0000000190            0.1475560016                    0.1227385532
0.0000000192            0.1441570835                    0.1207851681
0.0000000194            0.1408532566                    0.1188426768
0.0000000196            0.1376410194                    0.1169124820
0.0000000198            0.1345170341                    0.1149958644
0.0000000200            0.1314781177                    0.1130939906
0.0000000202            0.1304866090                    0.1112251205
0.0000000204            0.1334195977                    0.1094487418
0.0000000206            0.1401257116                    0.1078366836
