-------------- Solving ODE Using RK34 Without Time Adaptivity --------------

Time                    Calculated Values(V1)           Calculated Values(V2)
-----------------------------------------------------------------------------------
0.0000000000            2.5000000000                    2.5000000000
0.0000000010            2.3098242188                    2.6754097849
0.0000000020            2.1851105337                    2.8350744451
0.0000000030            2.0722713453                    2.9804019245
0.0000000040            1.9701760344                    3.1129481511
0.0000000050            1.8778016328                    3.2340262190
0.0000000060            1.7942225733                    3.3447583380
0.0000000070            1.7186014156                    3.4461156242
0.0000000080            1.6501804555                    3.5389483119
0.0000000090            1.5882741329                    3.6240085743
0.0000000100            1.5322621629                    3.7019677514
0.0000000110            1.4337239450                    3.7738709634
0.0000000120            1.2972132637                    3.8412035315
0.0000000130            1.1737003190                    3.9045835371
0.0000000140            1.0619475434                    3.9641179675
0.0000000150            0.9608352037                    4.0199313641
0.0000000160            0.8693501805                    4.0721625309
0.0000000170            0.7865758181                    4.1209610802
0.0000000180            0.7116827390                    4.1664841235
0.0000000190            0.6439205342                    4.2088932808
0.0000000200            0.5826102442                    4.2483520854
0.0000000210            0.5749969310                    4.2846560684
0.0000000220            0.6154631998                    4.3171765245
0.0000000230            0.6520765107                    4.3459379724
0.0000000240            0.6852037196                    4.3713553741
0.0000000250            0.7151767523                    4.3937998561
0.0000000260            0.7422959308                    4.4136030942
0.0000000270            0.7668329822                    4.4310612971
0.0000000280            0.7890337612                    4.4464388180
0.0000000290            0.8091207138                    4.4599714253
0.0000000300            0.8272951061                    4.4718692588
0.0000000310            0.7958796657                    4.4827145158
0.0000000320            0.7201007294                    4.4935217507
0.0000000330            0.6515370136                    4.5045624889
0.0000000340            0.5895015276                    4.5156735109
0.0000000350            0.5333726923                    4.5267242949
0.0000000360            0.4825881115                    4.5376116054
0.0000000370            0.4366389369                    4.5482549317
0.0000000380            0.3950647698                    4.5585926440
0.0000000390            0.3574490482                    4.5685787569
0.0000000400            0.3234148721                    4.5781802034
0.0000000410            0.3404806033                    4.5870296924
0.0000000420            0.4032761244                    4.5943659315
0.0000000430            0.4600926287                    4.6000432797
0.0000000440            0.5114994029                    4.6042966077
0.0000000450            0.5580115293                    4.6073337636
0.0000000460            0.6000950472                    4.6093381070
0.0000000470            0.6381716224                    4.6104708914
0.0000000480            0.6726227721                    4.6108734860
0.0000000490            0.7037936880                    4.6106694335
0.0000000500            0.7319966943                    4.6099663450
0.0000000510            0.7096550028                    4.6092444605
0.0000000520            0.6420858670                    4.6094174009
0.0000000530            0.5809502631                    4.6106800559
0.0000000540            0.5256356285                    4.6128063920
0.0000000550            0.4755877249                    4.6156066173
0.0000000560            0.4303050855                    4.6189217711
0.0000000570            0.3893339902                    4.6226191162
0.0000000580            0.3522639193                    4.6265882124
0.0000000590            0.3187234405                    4.6307375665
0.0000000600            0.2883764869                    4.6349917753
0.0000000610            0.3087783651                    4.6389474145
0.0000000620            0.3745923850                    4.6418126008
0.0000000630            0.4341399848                    4.6434071174
0.0000000640            0.4880178156                    4.6439310371
0.0000000650            0.5367657193                    4.6435607757
0.0000000660            0.5808721371                    4.6424512540
0.0000000670            0.6207790036                    4.6407379566
0.0000000680            0.6568861753                    4.6385388713
0.0000000690            0.6895554364                    4.6359563004
0.0000000700            0.7191141245                    4.6330785374
0.0000000710            0.6979990348                    4.6303671245
0.0000000720            0.6315397111                    4.6287176154
0.0000000730            0.5714082496                    4.6283105728
0.0000000740            0.5170021488                    4.6289078959
0.0000000750            0.4677762739                    4.6303085509
0.0000000760            0.4232373945                    4.6323431276
0.0000000770            0.3829392428                    4.6348691959
0.0000000780            0.3464780418                    4.6377673399
0.0000000790            0.3134884598                    4.6409377684
0.0000000800            0.2836399500                    4.6442974169
0.0000000810            0.3044928131                    4.6474362245
0.0000000820            0.3707148779                    4.6495565870
0.0000000830            0.4306316708                    4.6504721853
0.0000000840            0.4848435425                    4.6503771004
0.0000000850            0.5338936816                    4.6494423359
0.0000000860            0.5782735578                    4.6478179171
0.0000000870            0.6184278456                    4.6456348952
0.0000000880            0.6547588806                    4.6430072391
0.0000000890            0.6876306901                    4.6400336035
0.0000000900            0.7173726411                    4.6367989693
0.0000000910            0.6964233651                    4.6337617190
0.0000000920            0.6301140673                    4.6318143948
0.0000000930            0.5701183471                    4.6311351037
0.0000000940            0.5158350632                    4.6314836423
0.0000000950            0.4667203112                    4.6326570311
0.0000000960            0.4222819743                    4.6344840626
0.0000000970            0.3820747920                    4.6368206486
0.0000000980            0.3456958989                    4.6395458451
0.0000000990            0.3127807880                    4.6425584552
0.0000001000            0.2829996585                    4.6457741217
0.0000001010            0.3039134863                    4.6487816536
