RK23 Using Bisection Time Stepping,,RK23 Using Constant E.h Time Stepping,,RK23 Using O(h) Stepping,,RK23 Without Time Stepping,,RK23 Using Bisection Time Stepping,,RK23 Using Constant E.h Time Stepping,,RK23 Using O(h) Stepping,,RK23 Without Time Stepping,
0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5
0.002,2.4995,0.002,2.4995,0.002,2.4995,0.002,2.4995,0.002,2.4995,0.002,2.4995,0.002,2.4995,0.002,2.4995
0.006,2.498501,0.004357,2.498911,0.07431,2.481574,0.004,2.499,0.006,2.498501,0.004384,2.498904,0.108392,2.473224,0.004,2.499
0.014,2.496505,0.00712,2.498221,0.146611,2.463936,0.006,2.498501,0.014,2.496505,0.007211,2.498199,0.215093,2.447489,0.006,2.498501
0.03,2.492525,0.010345,2.497417,0.219076,2.446541,0.008,2.498002,0.03,2.492525,0.010547,2.497366,0.322162,2.422282,0.008,2.498002
0.062,2.484605,0.014091,2.496483,0.291708,2.42939,0.01,2.497503,0.062,2.484605,0.014462,2.49639,0.429608,2.3976,0.01,2.497503
0.126,2.468935,0.018423,2.495404,0.364509,2.412483,0.012,2.497004,0.126,2.468935,0.019037,2.495251,0.537436,2.373442,0.012,2.497004
0.254,2.438259,0.02341,2.494162,0.437481,2.395817,0.014,2.496505,0.254,2.438259,0.024357,2.493927,0.645653,2.349806,0.014,2.496505
0.51,2.379533,0.029128,2.492741,0.510626,2.379393,0.016,2.496007,0.51,2.379527,0.030515,2.492397,0.754267,2.32669,0.016,2.496007
1.022,2.272268,0.035658,2.491121,0.583947,2.363211,0.018,2.495509,1.022,2.272228,0.037613,2.490636,0.863283,2.304094,0.018,2.495509
2.046,2.096129,0.043083,2.48928,0.657445,2.347269,0.02,2.495011,2.046,2.095841,0.04576,2.488618,0.972709,2.282016,0.02,2.495011
4.094,1.873342,0.051496,2.487199,0.731123,2.331567,0.022,2.494513,4.094,1.867718,0.05507,2.486316,1.082552,2.260454,0.022,2.494513
