Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.006000,2.498501,2.501101,
0.014000,2.496507,2.502569,
0.030000,2.492534,2.505500,
0.062000,2.484644,2.511350,
0.126000,2.469093,2.523001,
0.254000,2.438898,2.546103,
0.510000,2.382083,2.591517,
1.022000,2.282311,2.679261,
2.046000,2.134580,2.842890,
4.094000,1.923973,3.127442,
8.190000,1.610352,3.562766,
16.382000,1.254636,4.088519,
24.574000,1.038833,4.345136,
32.766000,0.894936,4.471305,
40.958000,0.902817,4.525734,
49.150000,0.853872,4.548519,
57.342000,0.939036,4.561214,
73.726000,0.995155,4.556298,
90.110000,0.799895,4.549235,
106.494000,0.649276,4.598075,
