Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004372,2.498908,2.500802,
0.007170,2.498210,2.501316,
0.010455,2.497391,2.501918,
0.014293,2.496436,2.502622,
0.018756,2.495328,2.503440,
0.023923,2.494046,2.504387,
0.029879,2.492573,2.505478,
0.036714,2.490885,2.506729,
0.044527,2.488962,2.508158,
0.053420,2.486780,2.509783,
0.063506,2.484315,2.511625,
0.074900,2.481541,2.513704,
0.087726,2.478433,2.516042,
0.102112,2.474966,2.518660,
0.118193,2.471113,2.521583,
0.136109,2.466849,2.524835,
0.156005,2.462149,2.528440,
0.178030,2.456989,2.532423,
0.202340,2.451347,2.536810,
0.229093,2.445201,2.541627,
0.258450,2.438533,2.546900,
0.290575,2.431328,2.552653,
0.325638,2.423573,2.558914,
0.363805,2.415260,2.565707,
0.405250,2.406384,2.573056,
0.450144,2.396946,2.580986,
0.498660,2.386952,2.589519,
0.550970,2.376416,2.598677,
0.607247,2.365354,2.608482,
0.667662,2.353795,2.618951,
0.732387,2.341770,2.630103,
0.801589,2.329323,2.641952,
0.875435,2.316504,2.654514,
0.954090,2.303372,2.667800,
1.037714,2.289996,2.681819,
1.126465,2.276455,2.696578,
1.220499,2.262837,2.712082,
1.319966,2.249242,2.728333,
1.425013,2.235777,2.745330,
1.535785,2.222156,2.763070,
1.650969,2.208159,2.781319,
1.773833,2.193406,2.800566,
1.904656,2.177895,2.820816,
2.043719,2.161628,2.842068,
2.191297,2.144611,2.864320,
2.347664,2.126852,2.887565,
2.513092,2.108363,2.911789,
2.687847,2.089162,2.936978,
2.872196,2.069267,2.963110,
3.066399,2.048702,2.990163,
3.270716,2.027492,3.018108,
3.485401,2.005668,3.046912,
3.710707,1.983262,3.076540,
3.946883,1.960311,3.106952,
4.194174,1.936854,3.138105,
4.452825,1.912932,3.169953,
4.723076,1.888589,3.202446,
5.005165,1.863873,3.235533,
5.299327,1.838830,3.269157,
5.605797,1.813511,3.303263,
5.924808,1.787967,3.337791,
6.256589,1.762251,3.372680,
6.601371,1.736416,3.407868,
6.959383,1.710517,3.443290,
7.330853,1.684605,3.478882,
7.716011,1.658736,3.514580,
8.115086,1.632963,3.550316,
8.528310,1.607339,3.586027,
8.955914,1.581913,3.621647,
9.398134,1.556738,3.657110,
9.855208,1.531861,3.692354,
10.327377,1.507329,3.727316,
10.814887,1.483186,3.761936,
11.317989,1.459475,3.796153,
11.836940,1.436236,3.829911,
12.372004,1.413504,3.863155,
12.923452,1.391315,3.895833,
13.491564,1.369700,3.927895,
14.076631,1.341766,3.959295,
14.637446,1.282244,3.988241,
15.198260,1.247382,4.016124,
15.759075,1.231311,4.042747,
16.309514,1.218921,4.067611,
16.878472,1.206811,4.092039,
17.466299,1.195002,4.115988,
18.073357,1.183514,4.139414,
18.700023,1.172364,4.162281,
19.346686,1.161569,4.184551,
20.013756,1.151140,4.206194,
20.701657,1.141090,4.227179,
21.410835,1.131428,4.247482,
22.141759,1.122162,4.267080,
22.894918,1.113296,4.285956,
23.670829,1.104835,4.304093,
24.470037,1.096780,4.321481,
25.293115,1.089131,4.338111,
26.140671,1.081885,4.353979,
27.013344,1.075039,4.369083,
27.911814,1.068588,4.383424,
28.836800,1.025047,4.397422,
29.723539,1.010474,4.410083,
30.584226,1.009610,4.421464,
31.472784,1.008792,4.432240,
32.390045,1.008022,4.442415,
33.336895,1.007296,4.451993,
34.314272,1.006617,4.460983,
35.323178,1.005981,4.469395,
36.364678,1.005389,4.477241,
37.439907,1.004840,4.484537,
38.550079,1.004331,4.491299,
39.696488,1.003861,4.497545,
40.880520,1.003430,4.503293,
42.103659,0.988855,4.508566,
43.267729,0.933164,4.513976,
44.411321,0.936800,4.519204,
45.529590,0.943491,4.523669,
46.679820,0.949635,4.527633,
47.863418,0.955262,4.531132,
49.081888,0.960398,4.534205,
50.336845,0.965073,4.536887,
51.630020,0.969313,4.539213,
52.963272,0.973147,4.541216,
54.338601,0.976601,4.542928,
55.758158,0.979701,4.544379,
57.224263,0.940680,4.546419,
58.622356,0.942899,4.548301,
59.983352,0.950173,4.549798,
61.379918,0.956674,4.550960,
62.814044,0.962469,4.551835,
64.287858,0.967618,4.552464,
65.803630,0.972179,4.552887,
67.363794,0.976203,4.553139,
68.970956,0.979741,4.553249,
70.627917,0.927179,4.553811,
72.216042,0.913274,4.555375,
73.739082,0.925541,4.556780,
75.291050,0.936259,4.557686,
76.874242,0.945605,4.558189,
78.491066,0.953738,4.558372,
80.144052,0.960797,4.558304,
81.835868,0.966908,4.558044,
83.569337,0.972184,4.557642,
85.347449,0.929927,4.558328,
87.038310,0.938215,4.558958,
88.696526,0.947671,4.559228,
90.388435,0.955829,4.559193,
92.116797,0.962851,4.558926,
93.884516,0.968881,4.558491,
95.694653,0.974043,4.557935,
97.550448,0.978448,4.557303,
99.455338,0.938244,4.557886,
101.266045,0.948491,4.558343,
