Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.083591,2.479537,2.515288,
0.165356,2.460360,2.530132,
0.247323,2.441960,2.544902,
0.329497,2.424336,2.559599,
0.411884,2.407486,2.574224,
0.494491,2.391409,2.588776,
0.577322,2.376103,2.603258,
0.660386,2.361567,2.617667,
0.743686,2.347801,2.632006,
0.827229,2.334803,2.646274,
0.911021,2.322573,2.660470,
0.995068,2.311111,2.674596,
1.079376,2.300092,2.688652,
1.120987,2.294693,2.695547,
1.267886,2.275813,2.719670,
1.415764,2.257085,2.743614,
1.564791,2.238490,2.767405,
1.714976,2.220029,2.791042,
1.866328,2.201702,2.814526,
2.018855,2.183512,2.837856,
2.172567,2.165459,2.861031,
2.327472,2.147544,2.884052,
2.483579,2.129769,2.906917,
2.640896,2.112135,2.929626,
2.799432,2.094642,2.952180,
2.959194,2.077292,2.974576,
3.120192,2.060087,2.996815,
3.282435,2.043026,3.018896,
3.445929,2.026112,3.040819,
3.610685,2.009344,3.062582,
3.776710,1.992725,3.084186,
3.944012,1.976254,3.105629,
4.112602,1.959933,3.126912,
4.282486,1.943763,3.148033,
4.453674,1.927744,3.168992,
4.626175,1.911878,3.189788,
4.799997,1.896164,3.210421,
4.975149,1.880604,3.230890,
5.151641,1.865198,3.251194,
5.329482,1.849947,3.271333,
5.508682,1.834851,3.291306,
5.689249,1.819912,3.311113,
5.871194,1.805128,3.330753,
6.054526,1.790502,3.350226,
6.239257,1.776033,3.369531,
6.425395,1.761721,3.388667,
6.612953,1.747567,3.407634,
6.801941,1.733572,3.426432,
6.992369,1.719734,3.445060,
7.184251,1.706055,3.463518,
7.377596,1.692535,3.481806,
7.572418,1.679173,3.499922,
7.768728,1.665970,3.517867,
7.966539,1.652926,3.535640,
8.165865,1.640040,3.553241,
8.366718,1.627312,3.570669,
8.569113,1.614743,3.587926,
8.773063,1.602332,3.605009,
8.978583,1.590079,3.621919,
9.185688,1.577984,3.638657,
9.394393,1.566046,3.655221,
9.604713,1.554265,3.671611,
9.816665,1.542640,3.687828,
10.030266,1.531091,3.703872,
10.066652,1.528986,3.706575,
10.159003,1.523086,3.713399,
10.251670,1.516367,3.720195,
10.344670,1.508826,3.726965,
10.438005,1.500464,3.733711,
10.531674,1.491277,3.740433,
10.625677,1.481266,3.747135,
10.720015,1.470429,3.753817,
10.814689,1.458766,3.760481,
10.909698,1.446275,3.767128,
11.005043,1.432961,3.773760,
11.043001,1.427532,3.776390,
11.218606,1.402682,3.788481,
11.395190,1.378130,3.800515,
11.572839,1.353863,3.812494,
11.751568,1.329881,3.824419,
11.931391,1.306180,3.836288,
12.112323,1.282759,3.848101,
12.294379,1.259616,3.859857,
12.477575,1.236750,3.871555,
12.661925,1.214159,3.883195,
12.847446,1.191841,3.894774,
13.034152,1.169795,3.906293,
13.222061,1.148018,3.917751,
13.411187,1.126510,3.929147,
13.601547,1.105268,3.940480,
13.793157,1.084291,3.951749,
13.986034,1.063578,3.962953,
14.180194,1.043126,3.974092,
14.375656,1.022934,3.985164,
14.572435,1.003002,3.996169,
14.770550,0.983326,4.007107,
14.970017,0.963906,4.017975,
15.170856,0.944739,4.028774,
15.373083,0.925826,4.039502,
15.576719,0.907163,4.050159,
15.781781,0.888749,4.060744,
15.988288,0.870584,4.071256,
16.196261,0.852665,4.081695,
16.405718,0.834990,4.092059,
16.616680,0.817559,4.102348,
16.829166,0.800370,4.112561,
17.043199,0.783421,4.122698,
17.258798,0.766711,4.132757,
17.475986,0.750238,4.142739,
17.694784,0.734001,4.152642,
17.915214,0.717998,4.162465,
18.137300,0.702228,4.172208,
18.361063,0.686688,4.181871,
18.586528,0.671379,4.191453,
18.813719,0.656297,4.200952,
19.042661,0.641442,4.210369,
19.273377,0.626812,4.219703,
19.505894,0.612405,4.228953,
19.740238,0.598220,4.238119,
19.976435,0.584256,4.247200,
20.214513,0.572922,4.256191,
20.270961,0.571064,4.258298,
20.363488,0.568726,4.261730,
20.456321,0.567259,4.265143,
20.549473,0.566662,4.268539,
20.642945,0.566937,4.271914,
20.736740,0.568085,4.275269,
20.830860,0.570106,4.278601,
20.925309,0.573001,4.281909,
21.020087,0.576748,4.285191,
21.044858,0.577795,4.286043,
21.278906,0.587562,4.293965,
21.514932,0.597183,4.301728,
21.753106,0.606664,4.309338,
21.993465,0.616006,4.316796,
22.236046,0.625209,4.324103,
22.480887,0.634275,4.331260,
22.728028,0.643203,4.338269,
22.977509,0.651994,4.345132,
23.229371,0.660650,4.351848,
23.483658,0.669171,4.358421,
23.740413,0.677557,4.364850,
23.999681,0.685810,4.371138,
24.261509,0.693930,4.377286,
24.525946,0.701918,4.383295,
24.793039,0.709774,4.389166,
25.062841,0.717500,4.394902,
25.335404,0.725096,4.400503,
25.610781,0.732563,4.405970,
25.889028,0.739903,4.411306,
26.170203,0.747114,4.416512,
26.454364,0.754199,4.421589,
26.741574,0.761159,4.426538,
27.031894,0.767994,4.431362,
27.325391,0.774704,4.436061,
27.622131,0.781292,4.440638,
27.922183,0.787757,4.445093,
28.225620,0.794101,4.449428,
28.532516,0.800324,4.453644,
28.842947,0.806428,4.457744,
29.156993,0.812413,4.461729,
29.474736,0.818280,4.465600,
29.796261,0.824030,4.469359,
30.121656,0.828737,4.473008,
30.157391,0.828851,4.473400,
30.252303,0.828532,4.474434,
30.347514,0.827315,4.475464,
30.443046,0.825198,4.476490,
30.538898,0.822182,4.477515,
30.635072,0.818265,4.478539,
30.731570,0.813448,4.479565,
30.828392,0.807730,4.480593,
